City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kananga,CD,2022-09-23 15:33:24,-5.8958,22.4178,83.35,49,100,2.89,overcast clouds
1,Enterprise,US,2022-09-23 15:33:25,36.0252,-115.2419,80.73,18,20,5.75,few clouds
2,Saint-Augustin,CA,2022-09-23 15:33:25,51.226,-58.6502,61.09,94,100,23.35,overcast clouds
3,Baherden,TM,2022-09-23 15:33:25,38.4362,57.4316,86.83,13,0,6.6,clear sky
4,San Borja,BO,2022-09-23 15:33:26,-14.8167,-66.85,72.43,46,100,4.36,overcast clouds
5,Bar-Le-Duc,FR,2022-09-23 15:33:26,48.75,5.1667,64.78,50,100,3.53,overcast clouds
6,Busselton,AU,2022-09-23 15:33:26,-33.65,115.3333,55.85,87,93,12.46,overcast clouds
7,Ushuaia,AR,2022-09-23 15:31:43,-54.8,-68.3,53.26,35,0,10.36,clear sky
8,Palu,ID,2022-09-23 15:33:27,-0.8917,119.8707,75.18,97,63,2.17,broken clouds
9,Agua Prieta,MX,2022-09-23 15:33:27,31.3,-109.5667,77.38,58,32,1.74,scattered clouds
10,Taoudenni,ML,2022-09-23 15:33:28,22.6783,-3.9836,108.12,13,17,0.98,few clouds
11,Rikitea,PF,2022-09-23 15:33:28,-23.1203,-134.9692,71.1,74,11,9.66,few clouds
12,Chokurdakh,RU,2022-09-23 15:33:29,70.6333,147.9167,33.91,82,100,3.38,overcast clouds
13,Ust-Kuyga,RU,2022-09-23 15:33:29,70.0167,135.6,24.78,93,77,3.49,broken clouds
14,Caravelas,BR,2022-09-23 15:33:29,-17.7125,-39.2481,88.48,54,29,13.35,scattered clouds
15,Boa Viagem,BR,2022-09-23 15:33:29,-5.1275,-39.7322,97.25,25,0,7.29,clear sky
16,Bulnes,CL,2022-09-23 15:33:30,-36.7423,-72.2985,59.76,58,100,5.41,overcast clouds
17,Saint-Philippe,RE,2022-09-23 15:33:30,-21.3585,55.7679,72.99,83,42,14.61,light rain
18,Saldanha,ZA,2022-09-23 15:33:30,-33.0117,17.9442,59.05,56,100,16.71,overcast clouds
19,Atuona,PF,2022-09-23 15:33:31,-9.8,-139.0333,75.43,81,44,15.5,light rain
20,Avarua,CK,2022-09-23 15:33:31,-21.2078,-159.775,73.45,64,40,9.22,scattered clouds
21,Aswan,EG,2022-09-23 15:33:31,24.0934,32.907,96.51,10,0,7.16,clear sky
22,Mataura,NZ,2022-09-23 15:33:32,-46.1927,168.8643,49.48,99,62,0.78,broken clouds
23,Saint-Jean-De-La-Ruelle,FR,2022-09-23 15:33:32,47.9113,1.8648,71.02,41,0,4.61,clear sky
24,Codrington,AU,2022-09-23 15:33:32,-38.2667,141.9667,49.87,65,94,15.57,overcast clouds
25,Albany,US,2022-09-23 15:28:54,42.6001,-73.9662,53.94,60,11,1.99,few clouds
26,Airai,TL,2022-09-23 15:33:33,-8.9266,125.4092,60.62,64,94,2.66,overcast clouds
27,Sungaipenuh,ID,2022-09-23 15:33:33,-2.0833,101.3833,65.35,97,97,1.03,overcast clouds
28,Puerto Ayora,EC,2022-09-23 15:33:33,-0.7393,-90.3518,66.54,97,99,5.01,overcast clouds
29,Jamestown,US,2022-09-23 15:33:34,42.097,-79.2353,52.02,54,100,13.8,overcast clouds
30,Fare,PF,2022-09-23 15:33:34,-16.7,-151.0167,77.13,77,26,21.74,light rain
31,Bluff,NZ,2022-09-23 15:33:34,-46.6,168.3333,49.8,86,89,8.25,overcast clouds
32,New Norfolk,AU,2022-09-23 15:33:35,-42.7826,147.0587,49.5,85,100,3.0,overcast clouds
33,Hilo,US,2022-09-23 15:30:44,19.7297,-155.09,76.62,81,0,6.91,clear sky
34,Tahoua,NE,2022-09-23 15:33:35,14.8888,5.2692,96.78,34,20,6.91,few clouds
35,Qaanaaq,GL,2022-09-23 15:33:35,77.484,-69.3632,21.81,83,92,7.14,overcast clouds
36,Kapaa,US,2022-09-23 15:33:36,22.0752,-159.319,75.18,94,20,4.61,few clouds
37,Brae,GB,2022-09-23 15:33:36,60.3964,-1.353,53.51,76,13,8.59,few clouds
38,Itarema,BR,2022-09-23 15:33:36,-2.9248,-39.9167,89.19,51,50,15.03,scattered clouds
39,Upernavik,GL,2022-09-23 15:33:37,72.7868,-56.1549,28.04,69,39,11.95,scattered clouds
40,Borogontsy,RU,2022-09-23 15:33:37,62.6683,131.1683,27.77,87,81,8.37,broken clouds
41,Seoul,KR,2022-09-23 15:31:09,37.5683,126.9778,62.04,75,0,4.61,clear sky
42,Berlevag,NO,2022-09-23 15:33:39,70.8578,29.0864,50.0,76,100,5.75,overcast clouds
43,Hermanus,ZA,2022-09-23 15:33:39,-34.4187,19.2345,58.8,56,100,11.99,overcast clouds
44,Vaini,TO,2022-09-23 15:33:39,-21.2,-175.2,75.36,94,75,9.22,broken clouds
