City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Georgetown,MY,80.53,heavy intensity rain,5.4112,100.3354,Cititel Penang
6,Faanui,PF,77.05,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
7,The Valley,AI,87.66,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
15,Saint George,US,75.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
19,Caucaia,BR,87.75,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
25,Cabo San Lucas,MX,88.05,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
27,Huizhou,CN,78.55,overcast clouds,23.0833,114.4,Kempinski Hotel Huizhou
29,Ko Samui,TH,82.31,light rain,9.5357,99.9357,The Passage
30,Sola,VU,80.08,scattered clouds,-13.8833,167.55,Leumerus Bungalows
32,Atuona,PF,75.43,light rain,-9.8,-139.0333,Villa Enata
35,Manggar,ID,78.57,overcast clouds,-2.8833,108.2667,Guest Hotel
36,Mogadouro,PT,80.26,overcast clouds,41.3403,-6.7119,Pensão Russo
37,Don Sak,TH,82.29,overcast clouds,9.3168,99.6918,Lam-tong Resort
39,Santa Rosa Del Sur,CO,79.02,overcast clouds,7.9644,-74.0544,Hotel hoquidea del sur
47,Hasaki,JP,80.22,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
48,Finschhafen,PG,79.21,heavy intensity rain,-6.6024,147.8681,Oasis Gagidu Ltd
57,Touros,BR,84.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
59,Kutum,SD,84.87,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
63,Meulaboh,ID,77.38,light rain,4.1363,96.1285,Kost Pria
64,Ponta Delgada,PT,79.5,light rain,37.7333,-25.6667,Vila Nova Hotel
66,Mwense,ZM,87.42,clear sky,-10.3845,28.698,Mwense Council Guest House
68,Sinnamary,GF,86.63,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
70,Yaan,NG,77.23,overcast clouds,7.3833,8.5667,
71,Turayf,SA,86.25,clear sky,31.6725,38.6637,Al Mudawah Hotel
72,Puro,PH,76.57,overcast clouds,12.4841,123.3827,
73,Acapulco,MX,82.31,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
75,Ponta Do Sol,PT,77.63,scattered clouds,32.6667,-17.1,Hotel do Campo
81,Santa Cruz Cabralia,BR,86.23,scattered clouds,-16.2781,-39.0247,Puerto Princesa Inn
83,Luwuk,ID,76.05,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
86,Nouadhibou,MR,85.98,few clouds,20.931,-17.0347,El Medina
88,Vila Velha,BR,80.55,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
89,Quartucciu,IT,76.03,few clouds,39.2519,9.1794,Best Western Hotel Residence Italia
91,Salalah,OM,80.69,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
93,Male,MV,82.35,few clouds,4.1748,73.5089,Hotel Octave Maldives
96,Namatanai,PG,79.74,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
104,Kang,BW,82.6,clear sky,-23.6752,22.7876,Kang Ultra Stop
105,Hithadhoo,MV,82.78,overcast clouds,-0.6,73.0833,Scoop Guest House
111,Hambantota,LK,82.74,few clouds,6.1241,81.1185,Bungalow 63
114,Caravelas,BR,88.48,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
118,Makakilo City,US,76.69,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
120,Miri,MY,77.14,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
121,Butaritari,KI,81.45,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
128,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
130,Puerto Penasco,MX,85.98,few clouds,31.3167,-113.5333,Playa Bonita Resort
135,Sassandra,CI,78.75,light rain,4.95,-6.0833,la terrasse
142,Shakawe,BW,88.47,clear sky,-18.3667,21.85,Ditlhapi Guest House
143,Foshan,CN,86.95,overcast clouds,23.0268,113.1315,Crowne Plaza Foshan
146,Yen Bai,VN,75.92,broken clouds,21.7,104.8667,AK MOTEL
147,Murgab,TM,82.27,clear sky,37.4966,61.9714,Wepa Nurlyýew
150,Harper,LR,78.15,moderate rain,4.375,-7.7169,Screensaver
151,Sao Joao Da Barra,BR,80.69,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
152,Yendi,GH,85.8,light rain,9.4427,-0.0099,Eyarro Lodge
159,Arraial Do Cabo,BR,75.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
167,Kahului,US,78.84,broken clouds,20.8947,-156.47,Maui Seaside Hotel
174,Cravo Norte,CO,88.99,broken clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
181,Russell,US,76.96,clear sky,32.3502,-85.1999,Macs
183,Bandarbeyla,SO,78.03,scattered clouds,9.4942,50.8122,JABIR HOTEL
189,Omboue,GA,78.67,overcast clouds,-1.5746,9.2618,Hotel Olako
190,Zhob,PK,79.41,clear sky,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
194,Monrovia,LR,82.17,light rain,6.3005,-10.7969,Sunset Inn
198,Rudsar,IR,80.58,scattered clouds,37.1376,50.288,Hotel Bahar
199,Sibu,MY,77.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
201,Pontes E Lacerda,BR,86.36,overcast clouds,-15.2261,-59.3353,Hotel Bressan
203,Aguimes,ES,76.66,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
204,Santa Cruz De La Palma,ES,78.13,broken clouds,28.6835,-17.7642,H10 Taburiente Playa
206,Wanning,CN,77.74,overcast clouds,18.8003,110.3967,Paradise Hotel
207,Kailua,US,78.15,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
210,Ambulu,ID,76.37,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
211,Vanimo,PG,78.57,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
